chapter,title,word_count,characters,events,source_url,parsed_at
176,171. [Fight for The Holy Land (1)],2501,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-176,2026-05-27T17:44:00.488377
177,172. [Fight for The Holy Land (2)],2501,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-177,2026-05-27T17:44:00.492360
178,173. [Fight for The Holy Land (3)],2872,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-178,2026-05-27T17:44:00.496495
179,174. [My Son is too Strong (1)],2757,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-179,2026-05-27T17:44:00.505306
180,175. [My Son is too Strong (2)],2519,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-180,2026-05-27T17:44:00.509523
181,176. [My Son is too Strong (3)],2643,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-181,2026-05-27T17:44:00.513495
182,177. [The Giant’s Legacy (1)],2656,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-182,2026-05-27T17:44:00.517497
183,178. [The Giant’s Legacy (2)],2288,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-183,2026-05-27T17:44:00.522232
184,179. [The Giant’s Legacy (3)],2987,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-184,2026-05-27T17:44:00.526450
185,180. [Our Children have Changed (1)],2257,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-185,2026-05-27T17:44:00.530297
186,181. [Our Children have Changed (2)],2536,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-186,2026-05-27T17:44:00.534214
187,182. [Our Children have Changed (3)],2837,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-187,2026-05-27T17:44:00.539109
188,183. [Rookie Actor (1)],2860,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-188,2026-05-27T17:44:00.543202
189,184. [Rookie Actor (2)],2806,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-189,2026-05-27T17:44:00.547273
